competition_id;competition_name;country;season;season_label;fixture_id;round;matchday;date;team_id;team_name;team_logo;opponent_id;opponent_name;opponent_logo;home_away;goals_for;goals_against;score;result;shots_on_target;shots_off_target;shots_total;blocked_shots;shots_inside_box;shots_outside_box;fouls;corners;offsides;possession;yellow_cards;red_cards;goalkeeper_saves;passes_total;passes_accurate;pass_accuracy
61;Ligue 1;France;2024;2024-2025;1213818;Regular Season - 8;8;2024-10-19T19:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;home;4;2;4-2;V;10.0;5.0;18.0;3.0;16.0;2.0;10.0;5.0;2.0;56.0;2.0;;5.0;560.0;493.0;88.0
61;Ligue 1;France;2024;2024-2025;1213821;Regular Season - 9;9;2024-10-27T19:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;away;3;0;3-0;V;8.0;9.0;19.0;2.0;15.0;4.0;7.0;2.0;8.0;75.0;0.0;0.0;1.0;916.0;862.0;94.0
61;Ligue 1;France;2024;2024-2025;1213836;Regular Season - 10;10;2024-11-02T16:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;116;Lens;https://media.api-sports.io/football/teams/116.png;home;1;0;1-0;V;8.0;5.0;18.0;5.0;13.0;5.0;3.0;7.0;2.0;69.0;1.0;0.0;2.0;720.0;640.0;89.0
61;Ligue 1;France;2024;2024-2025;1213845;Regular Season - 11;11;2024-11-09T20:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;77;Angers;https://media.api-sports.io/football/teams/77.png;away;4;2;4-2;V;12.0;9.0;26.0;5.0;19.0;7.0;16.0;8.0;0.0;70.0;3.0;;1.0;801.0;740.0;92.0
61;Ligue 1;France;2024;2024-2025;1213846;Regular Season - 12;12;2024-11-22T20:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;96;Toulouse;https://media.api-sports.io/football/teams/96.png;home;3;0;3-0;V;8.0;4.0;17.0;5.0;10.0;7.0;11.0;7.0;2.0;73.0;1.0;;2.0;765.0;683.0;89.0
61;Ligue 1;France;2024;2024-2025;1213861;Regular Season - 13;13;2024-11-30T20:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;83;Nantes;https://media.api-sports.io/football/teams/83.png;home;1;1;1-1;N;10.0;8.0;24.0;6.0;17.0;7.0;3.0;9.0;1.0;84.0;;;1.0;1009.0;935.0;93.0
61;Ligue 1;France;2024;2024-2025;1213865;Regular Season - 14;14;2024-12-06T20:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;108;Auxerre;https://media.api-sports.io/football/teams/108.png;away;0;0;0-0;N;11.0;9.0;24.0;4.0;19.0;5.0;7.0;15.0;4.0;73.0;1.0;;2.0;671.0;602.0;90.0
61;Ligue 1;France;2024;2024-2025;1213881;Regular Season - 15;15;2024-12-15T19:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;80;Lyon;https://media.api-sports.io/football/teams/80.png;home;3;1;3-1;V;6.0;4.0;13.0;3.0;11.0;2.0;7.0;4.0;2.0;68.0;2.0;;2.0;734.0;672.0;92.0
61;Ligue 1;France;2024;2024-2025;1213882;Regular Season - 16;16;2024-12-18T20:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;91;Monaco;https://media.api-sports.io/football/teams/91.png;away;4;2;4-2;V;12.0;3.0;17.0;2.0;10.0;7.0;11.0;9.0;1.0;60.0;0.0;;3.0;572.0;492.0;86.0
61;Ligue 1;France;2024;2024-2025;1213898;Regular Season - 17;17;2025-01-12T19:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;1063;Saint Etienne;https://media.api-sports.io/football/teams/1063.png;home;2;1;2-1;V;9.0;12.0;25.0;4.0;18.0;7.0;16.0;7.0;2.0;59.0;1.0;;2.0;607.0;534.0;88.0
61;Ligue 1;France;2024;2024-2025;1213901;Regular Season - 18;18;2025-01-18T16:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;116;Lens;https://media.api-sports.io/football/teams/116.png;away;2;1;2-1;V;7.0;0.0;9.0;2.0;7.0;2.0;8.0;1.0;0.0;67.0;2.0;;6.0;691.0;632.0;91.0
61;Ligue 1;France;2024;2024-2025;1213916;Regular Season - 19;19;2025-01-25T20:05:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;93;Reims;https://media.api-sports.io/football/teams/93.png;home;1;1;1-1;N;7.0;4.0;18.0;7.0;11.0;7.0;13.0;8.0;0.0;78.0;2.0;;2.0;776.0;711.0;92.0
61;Ligue 1;France;2024;2024-2025;1213919;Regular Season - 20;20;2025-02-01T16:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;away;5;2;5-2;V;7.0;4.0;14.0;3.0;13.0;1.0;12.0;7.0;0.0;66.0;0.0;;5.0;722.0;644.0;89.0
61;Ligue 1;France;2024;2024-2025;1213932;Regular Season - 21;21;2025-02-07T20:05:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;91;Monaco;https://media.api-sports.io/football/teams/91.png;home;4;1;4-1;V;7.0;6.0;16.0;3.0;8.0;8.0;9.0;1.0;1.0;64.0;1.0;;2.0;616.0;543.0;88.0
61;Ligue 1;France;2024;2024-2025;1213936;Regular Season - 22;22;2025-02-15T20:05:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;96;Toulouse;https://media.api-sports.io/football/teams/96.png;away;1;0;1-0;V;6.0;9.0;20.0;5.0;9.0;11.0;6.0;2.0;1.0;77.0;0.0;;4.0;814.0;750.0;92.0
61;Ligue 1;France;2024;2024-2025;1213953;Regular Season - 23;23;2025-02-23T19:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;80;Lyon;https://media.api-sports.io/football/teams/80.png;away;3;2;3-2;V;8.0;3.0;15.0;4.0;10.0;5.0;8.0;4.0;1.0;65.0;1.0;;5.0;661.0;607.0;92.0
61;Ligue 1;France;2024;2024-2025;1213954;Regular Season - 24;24;2025-03-01T20:05:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;79;Lille;https://media.api-sports.io/football/teams/79.png;home;4;1;4-1;V;11.0;8.0;26.0;7.0;20.0;6.0;6.0;9.0;3.0;58.0;0.0;;1.0;649.0;595.0;92.0
61;Ligue 1;France;2024;2024-2025;1213970;Regular Season - 25;25;2025-03-08T16:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;94;Rennes;https://media.api-sports.io/football/teams/94.png;away;4;1;4-1;V;9.0;7.0;19.0;3.0;12.0;7.0;6.0;2.0;0.0;68.0;3.0;;2.0;685.0;624.0;91.0
61;Ligue 1;France;2024;2024-2025;1213972;Regular Season - 26;26;2025-03-16T19:45:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;home;3;1;3-1;V;5.0;6.0;16.0;5.0;12.0;4.0;7.0;5.0;4.0;60.0;1.0;;1.0;612.0;555.0;91.0
61;Ligue 1;France;2024;2024-2025;1213986;Regular Season - 27;27;2025-03-29T18:00:00+00:00;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;1063;Saint Etienne;https://media.api-sports.io/football/teams/1063.png;away;6;1;6-1;V;10.0;6.0;22.0;6.0;14.0;8.0;12.0;6.0;0.0;53.0;0.0;;1.0;555.0;489.0;88.0
61;Ligue 1;France;2024;2024-2025;1213764;Regular Season - 2;2;2024-08-25T18:45:00+00:00;93;Reims;https://media.api-sports.io/football/teams/93.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;away;2;2;2-2;N;3.0;5.0;13.0;5.0;8.0;5.0;13.0;4.0;1.0;34.0;1.0;;9.0;327.0;261.0;80.0
61;Ligue 1;France;2024;2024-2025;1213785;Regular Season - 5;5;2024-09-21T19:00:00+00:00;93;Reims;https://media.api-sports.io/football/teams/93.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;1;1;1-1;N;1.0;3.0;8.0;4.0;5.0;3.0;11.0;3.0;1.0;22.0;2.0;;3.0;219.0;159.0;73.0
61;Ligue 1;France;2024;2024-2025;1213916;Regular Season - 19;19;2025-01-25T20:05:00+00:00;93;Reims;https://media.api-sports.io/football/teams/93.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;1;1;1-1;N;3.0;2.0;6.0;1.0;4.0;2.0;13.0;1.0;3.0;22.0;2.0;;6.0;207.0;144.0;70.0
61;Ligue 1;France;2024;2024-2025;1213987;Regular Season - 27;27;2025-03-29T16:00:00+00:00;93;Reims;https://media.api-sports.io/football/teams/93.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;home;3;1;3-1;V;5.0;1.0;7.0;1.0;6.0;1.0;6.0;0.0;1.0;20.0;;;5.0;195.0;112.0;57.0
61;Ligue 1;France;2024;2024-2025;1213793;Regular Season - 6;6;2024-09-27T19:00:00+00:00;94;Rennes;https://media.api-sports.io/football/teams/94.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;1;3;1-3;D;5.0;3.0;12.0;4.0;5.0;7.0;13.0;4.0;1.0;38.0;3.0;;4.0;389.0;319.0;82.0
61;Ligue 1;France;2024;2024-2025;1213899;Regular Season - 17;17;2025-01-11T20:05:00+00:00;94;Rennes;https://media.api-sports.io/football/teams/94.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;home;1;2;1-2;D;4.0;0.0;5.0;1.0;5.0;0.0;11.0;2.0;6.0;36.0;2.0;;5.0;363.0;301.0;83.0
61;Ligue 1;France;2024;2024-2025;1213970;Regular Season - 25;25;2025-03-08T16:00:00+00:00;94;Rennes;https://media.api-sports.io/football/teams/94.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;1;4;1-4;D;3.0;5.0;13.0;5.0;11.0;2.0;11.0;3.0;1.0;32.0;2.0;;5.0;311.0;250.0;80.0
61;Ligue 1;France;2024;2024-2025;1214044;Regular Season - 34;34;2025-05-17T19:00:00+00:00;94;Rennes;https://media.api-sports.io/football/teams/94.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;away;2;4;2-4;D;3.0;5.0;9.0;1.0;7.0;2.0;12.0;5.0;3.0;39.0;3.0;;6.0;359.0;299.0;83.0
61;Ligue 1;France;2024;2024-2025;1213866;Regular Season - 14;14;2024-12-08T19:45:00+00:00;1063;Saint Etienne;https://media.api-sports.io/football/teams/1063.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;home;0;2;0-2;D;2.0;0.0;3.0;1.0;0.0;3.0;13.0;0.0;;31.0;1.0;;8.0;398.0;330.0;83.0
61;Ligue 1;France;2024;2024-2025;1213898;Regular Season - 17;17;2025-01-12T19:45:00+00:00;1063;Saint Etienne;https://media.api-sports.io/football/teams/1063.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;1;2;1-2;D;3.0;0.0;8.0;5.0;4.0;4.0;11.0;3.0;0.0;41.0;2.0;;7.0;432.0;349.0;81.0
61;Ligue 1;France;2024;2024-2025;1213937;Regular Season - 22;22;2025-02-15T16:00:00+00:00;1063;Saint Etienne;https://media.api-sports.io/football/teams/1063.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;away;1;5;1-5;D;2.0;3.0;7.0;2.0;4.0;3.0;9.0;3.0;2.0;29.0;1.0;;8.0;350.0;283.0;81.0
61;Ligue 1;France;2024;2024-2025;1213986;Regular Season - 27;27;2025-03-29T18:00:00+00:00;1063;Saint Etienne;https://media.api-sports.io/football/teams/1063.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;1;6;1-6;D;2.0;3.0;11.0;6.0;5.0;6.0;9.0;3.0;1.0;47.0;2.0;;4.0;482.0;397.0;82.0
61;Ligue 1;France;2024;2024-2025;1213747;Regular Season - 1;1;2024-08-17T15:00:00+00:00;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;home;1;5;1-5;D;7.0;2.0;10.0;1.0;6.0;4.0;12.0;5.0;2.0;50.0;4.0;;0.0;493.0;423.0;86.0
61;Ligue 1;France;2024;2024-2025;1213782;Regular Season - 4;4;2024-09-14T19:00:00+00:00;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;1;3;1-3;D;3.0;0.0;5.0;2.0;2.0;3.0;13.0;1.0;1.0;33.0;3.0;;6.0;333.0;253.0;76.0
61;Ligue 1;France;2024;2024-2025;1213919;Regular Season - 20;20;2025-02-01T16:00:00+00:00;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;2;5;2-5;D;7.0;4.0;14.0;3.0;6.0;8.0;9.0;4.0;3.0;34.0;1.0;;2.0;368.0;292.0;79.0
61;Ligue 1;France;2024;2024-2025;1214024;Regular Season - 31;31;2025-04-27T18:45:00+00:00;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;away;1;4;1-4;D;4.0;3.0;9.0;2.0;8.0;1.0;16.0;3.0;1.0;46.0;4.0;;3.0;417.0;351.0;84.0
61;Ligue 1;France;2024;2024-2025;1213792;Regular Season - 6;6;2024-09-29T18:45:00+00:00;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;home;1;0;1-0;V;6.0;6.0;14.0;2.0;8.0;6.0;17.0;8.0;1.0;41.0;2.0;;3.0;381.0;316.0;83.0
61;Ligue 1;France;2024;2024-2025;1213818;Regular Season - 8;8;2024-10-19T19:00:00+00:00;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;2;4;2-4;D;8.0;1.0;16.0;7.0;10.0;6.0;12.0;5.0;1.0;44.0;2.0;;6.0;445.0;378.0;85.0
61;Ligue 1;France;2024;2024-2025;1213900;Regular Season - 18;18;2025-01-19T19:45:00+00:00;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;away;1;1;1-1;N;3.0;2.0;7.0;2.0;4.0;3.0;14.0;3.0;5.0;30.0;3.0;;2.0;267.0;202.0;76.0
61;Ligue 1;France;2024;2024-2025;1213773;Regular Season - 3;3;2024-08-31T19:00:00+00:00;96;Toulouse;https://media.api-sports.io/football/teams/96.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;home;1;3;1-3;D;1.0;2.0;3.0;0.0;2.0;1.0;10.0;2.0;;24.0;4.0;1.0;2.0;271.0;204.0;75.0
61;Ligue 1;France;2024;2024-2025;1213846;Regular Season - 12;12;2024-11-22T20:00:00+00:00;96;Toulouse;https://media.api-sports.io/football/teams/96.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;away;0;3;0-3;D;2.0;6.0;11.0;3.0;8.0;3.0;14.0;5.0;0.0;27.0;2.0;;5.0;276.0;212.0;77.0
61;Ligue 1;France;2024;2024-2025;1213936;Regular Season - 22;22;2025-02-15T20:05:00+00:00;96;Toulouse;https://media.api-sports.io/football/teams/96.png;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;home;0;1;0-1;D;4.0;6.0;14.0;4.0;10.0;4.0;9.0;5.0;1.0;23.0;2.0;;5.0;239.0;169.0;71.0
61;Ligue 1;France;2024;2024-2025;1213990;Regular Season - 28;28;2025-04-06T18:45:00+00:00;96;Toulouse;https://media.api-sports.io/football/teams/96.png;81;Marseille;https://media.api-sports.io/football/teams/81.png;away;2;3;2-3;D;3.0;5.0;8.0;0.0;5.0;3.0;15.0;1.0;2.0;33.0;3.0;;2.0;301.0;251.0;83.0
